# This file was produced by samtools stats (1.13+htslib-1.13+ds) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats sorted_basic.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	682b4415	c9caa290	73c9c3ea
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	3286652	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	3286652
SN	is sorted:	1
SN	1st fragments:	1643326
SN	last fragments:	1643326
SN	reads mapped:	3256814
SN	reads mapped and paired:	3246916	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	29838
SN	reads properly paired:	3220612	# proper-pair bit set
SN	reads paired:	3286652	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	426969	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	3378
SN	total length:	266204729	# ignores clipping
SN	total first fragment length:	133098964	# ignores clipping
SN	total last fragment length:	133105765	# ignores clipping
SN	bases mapped:	263790963	# ignores clipping
SN	bases mapped (cigar):	262324646	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	1506951	# from NM fields
SN	error rate:	5.744603e-03	# mismatches / bases mapped (cigar)
SN	average length:	80
SN	average first fragment length:	81
SN	average last fragment length:	81
SN	maximum length:	81
SN	maximum first fragment length:	81
SN	maximum last fragment length:	81
SN	average quality:	36.9
SN	insert size average:	251.1
SN	insert size standard deviation:	150.8
SN	inward oriented pairs:	1498270
SN	outward oriented pairs:	119081
SN	pairs with other orientation:	830
SN	pairs on different chromosomes:	5277
SN	percentage of properly paired reads (%):	98.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	27	0	0	0	3	8	267	44	951	371	6	3	4	48	464	262	2180	798	10	149	90	541	1115	2807	1010	6025	345	2339	4817	6333	9653	8652	16870	10146	26676	28588	71638	88454	259087	1092545	0
FFQ	2	0	0	46	0	0	1	6	6	230	57	860	290	5	4	5	69	460	303	1792	719	8	143	111	585	1284	2777	1104	5884	316	2244	4977	6412	9445	8950	16983	10440	27325	29140	73515	90817	263341	1082671	0
FFQ	3	0	0	65	0	0	2	4	7	282	73	905	274	2	5	6	95	554	355	1612	721	11	182	100	593	1404	2579	1151	5651	380	2336	5274	6488	8991	9008	16769	10854	27473	29330	75538	94806	269395	1070050	0
FFQ	4	0	0	108	0	0	3	10	5	406	179	1162	355	10	6	13	111	653	526	1742	808	10	222	126	637	1563	2635	1146	5936	370	2421	5497	6698	9280	9275	17034	11261	27881	29378	79862	88784	256685	1080527	0
FFQ	5	0	0	239	0	0	5	18	17	355	152	863	232	8	13	12	170	695	576	1565	789	18	215	118	709	1827	2658	1171	6093	422	2527	6194	6692	9136	9406	17426	12049	28702	30531	82320	90725	263365	1065312	0
FFQ	6	0	0	340	0	0	7	15	29	500	330	1087	294	9	10	13	175	706	592	1253	817	19	238	123	766	2076	2546	1204	5694	436	2543	6567	6795	8929	9643	17844	12679	28840	31218	84155	91778	273494	1049561	0
FFQ	7	0	0	436	0	0	4	28	39	617	474	1329	281	14	20	25	240	878	758	1193	863	25	267	132	846	2343	2470	1193	5498	444	2610	6984	6883	8702	9939	17598	13176	29360	31189	87228	91126	282245	1035868	0
FFQ	8	0	0	529	0	0	4	36	45	644	583	1264	233	17	13	24	279	1054	839	1040	918	27	305	151	966	2610	2549	1311	5679	513	2640	7578	7084	8579	10441	17715	14449	29634	31618	90311	89541	293275	1018827	0
FFQ	9	0	0	623	0	0	7	39	60	825	731	1290	156	21	37	35	370	1183	876	950	848	24	324	179	947	2891	2549	1304	5247	558	2738	8213	7134	8046	10577	18124	15097	29613	32264	93397	88981	302147	1004920	0
FFQ	10	0	0	711	0	0	5	51	77	866	929	1041	96	27	42	40	406	1353	916	887	923	43	361	194	973	3234	2693	1398	5256	592	2816	8936	7398	7706	11136	18151	16431	30081	32488	97453	89045	311443	987127	0
